SLU	CAS	NB01	NB02	Attribute	nat_non_veg	non_for_anth	non_for_veg
AI	FA	1	1			FA	
AR	FA	1	1			FA	
BA	FA	1	1			FA	
BL	EX	1	1		EX		
BO	OM	0	1				OM
BR		0	1				
BW		0	1				
CB	CL	1	1			CL	
CG	FA	1	1			FA	
CH	CL	1	1			CL	
CL	CL	1	1			CL	
CO	CL	1	1			CL	
CS	FA	1	1			FA	
CT	CL	1	1			CL	
DM		0	1				
EA	FA	1	1			FA	
FD	CL	1	1			CL	
FL		0	1				
FP	CL	1	1			CL	
FW	FL	1	0		FL		
GC	FA	1	1			FA	
GP	IN	1	1			IN	
GR		0	1				
IP	IN	1	1			IN	
IZ	FA	1	1			FA	
LE	FA	1	1			FA	
LF	IN	1	1			IN	
MI	IN	1	1			IN	
P1		0	1				
P2		0	1				
PA	FA	1	1			FA	
PB	IN	1	1			IN	
PP	FA	1	1			FA	
PR		1	1				
QU	IN	1	1			IN	
RD	FA	1	1			FA	
RF	WS	1	1		WS		
RO	RK	1	1		RK		
RR	FA	1	1			FA	
RU	SE	1	1			SE	
RY	FA	1	1			FA	
SG	LG	1	1			LG	
SK	FA	1	1			FA	
SP		0	1				
TM	FA	1	1			FA	
TR	FA	1	1			FA	
UR	SE	1	1			SE	
WF		0	1				
WR		1	1				
WT		0	1				
