rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(poly_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', poly_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,false(),nothingText(),Attribute does not occur,TRUE
3,STRUCTURE_PER,integer,false(),nothingInt(),Copies NULL integer code to STRUCTURE_PER,TRUE
4,LAYER,integer,true(),copyInt(1),Copies 1 to LAYER,TRUE
5,LAYER_RANK,integer,true(),copyInt(1),Copies 1 to LAYER_ID,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(cl_dens);isNumeric(cl_dens);matchList(cl_dens,{A,B,C,D})","mapInt(cl_dens, {A,B,C,D}, {40,60,80,100})",Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(cl_dens);isNumeric(cl_dens);matchList(cl_dens,{A,B,C,D})","mapInt(cl_dens, {A,B,C,D}, {25,40,60,80})",Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,"notNull(cl_haut);isNumeric(cl_haut);matchList(cl_haut,{1,2,3,4,5,6,7})","mapInt(cl_haut, {1,2,3,4,5,6,7}, {4,7,12,17,22,100})",Copies source value to HEIGHT_UPPER,TRUE
9,HEIGHT_LOWER,double precision,"notNull(cl_haut);isNumeric(cl_haut);matchList(cl_haut,{1,2,3,4,5,6,7})","mapInt(cl_haut, {1,2,3,4,5,6,7}, {0,4,7,12,17,22})",Copies source value to HEIGHT_LOWER,TRUE
10,PRODUCTIVE_FOR,text,false(),nothingText(),Correct translation has not been determined.,TRUE
11,SPECIES_1,text,"notNull(l1s1);notEmpty(l1s1);matchTable(l1s1, 'translation', 'qc_4th_species' )","lookupText(l1s1, 'translation', 'qc_4th_species', 'spec1', 'TRUE')",Maps source value to SPECIES_1 using lookup table,TRUE
12,SPECIES_PER_1,integer,"notNull(l1pr1);isNumeric(l1pr1);isBetween(l1pr1, 0, 100)",copyInt(l1pr1),Copies source value to SPECIES_PER_1,TRUE
13,SPECIES_2,text,"notNull(l1s2);notEmpty(l1s2);matchTable(l1s2, 'translation', 'qc_4th_species')","lookupText(l1s2, 'translation', 'qc_4th_species', 'spec2', 'TRUE')",Maps source value to SPECIES_2 using lookup table,TRUE
14,SPECIES_PER_2,integer,"notNull(l1pr2);isNumeric(l1pr2);isBetween(l1pr2, 0, 100)",copyInt(l1pr2),Copies source value to SPECIES_PER_2,TRUE
15,SPECIES_3,text,"notNull(l1s3);notEmpty(l1s3);matchTable(l1s3, 'translation', 'qc_4th_species')","lookupText(l1s3, 'translation', 'qc_4th_species', 'spec3', 'TRUE')",Maps source value to SPECIES_3 using lookup table,TRUE
16,SPECIES_PER_3,integer,"notNull(l1pr3);isNumeric(l1pr3);isBetween(l1pr3, 0, 100)",copyInt(l1pr3),Copies source value to SPECIES_PER_3,TRUE
17,SPECIES_4,text,false(),nothingText(),attribute does not occur,TRUE
18,SPECIES_PER_4,integer,false(),nothingInt(),attribute does not occur,TRUE
19,SPECIES_5,text,false(),nothingText(),attribute does not occur,TRUE
20,SPECIES_PER_5,integer,false(),nothingInt(),attribute does not occur,TRUE
21,SPECIES_6,text,false(),nothingText(),attribute does not occur,TRUE
22,SPECIES_PER_6,integer,false(),nothingInt(),attribute does not occur,TRUE
23,SPECIES_7,text,false(),nothingText(),attribute does not occur,TRUE
24,SPECIES_PER_7,integer,false(),nothingInt(),attribute does not occur,TRUE
25,SPECIES_8,text,false(),nothingText(),attribute does not occur,TRUE
26,SPECIES_PER_8,integer,false(),nothingInt(),attribute does not occur,TRUE
27,SPECIES_9,text,false(),nothingText(),attribute does not occur,TRUE
28,SPECIES_PER_9,integer,false(),nothingInt(),attribute does not occur,TRUE
29,SPECIES_10,text,false(),nothingText(),attribute does not occur,TRUE
30,SPECIES_PER_10,integer,false(),nothingInt(),attribute does not occur,TRUE
31,ORIGIN_UPPER,integer,"notNull(l1estyr);isInt(l1estyr);isBetween(l1estyr, 0, 2020)",copyInt(l1estyr),Copies (l1estyr) to ORIGIN_UPPER,TRUE
32,ORIGIN_LOWER,integer,"notNull(l1estyr);isInt(l1estyr);isBetween(l1estyr, 0, 2020)",copyInt(l1estyr),Copies (l1estyr) to ORIGIN_LOWER,TRUE
33,SITE_CLASS,text,false(),nothingText(),Attribute does not occur,TRUE
34,SITE_INDEX,double precision,false(),nothingDouble(),attribute does not occur,TRUE
